atlasId,atlasName,cohortId,name,cohortType,StartYear
1,Osteoporosis (2012-2021),1,ODTP_Osteoporosis,P_Target,
2,Osteoporosis (2012),2,ODTP_Osteoporosis_sub,P_Target,2012
3,Osteoporosis (2013),3,ODTP_Osteoporosis_sub,P_Target,2013
4,Osteoporosis (2014),4,ODTP_Osteoporosis_sub,P_Target,2014
5,Osteoporosis (2015),5,ODTP_Osteoporosis_sub,P_Target,2015
6,Osteoporosis (2016),6,ODTP_Osteoporosis_sub,P_Target,2016
7,Osteoporosis (2017),7,ODTP_Osteoporosis_sub,P_Target,2017
8,Osteoporosis (2018),8,ODTP_Osteoporosis_sub,P_Target,2018
9,Osteoporosis (2019),9,ODTP_Osteoporosis_sub,P_Target,2019
10,Osteoporosis (2020),10,ODTP_Osteoporosis_sub,P_Target,2020
11,Osteoporosis (2021),11,ODTP_Osteoporosis_sub,P_Target,2021
1328,[ODTP] New users of Denosumab as first line therapy 6,1328,ODTP_New_users_of_Denosumab_as_first_line_therapy_6,E_Target,
1327,[ODTP] New users of Bisphosphonate as first line therapy 6,1327,ODTP_New_users_of_Bisphosphonate_as_first_line_therapy_6,E_Target,
443,[ODTP] Osteoporotics Fracture,443,ODTP_Osteoporotics_Fracture,E_Outcome,
984,[ODTP] Osteoporotic fracture (Vertebral),984,ODTP_Osteoporotic_fracture_Vertebral,E_Outcome,
985,[ODTP] Osteoporotic fracture (Hip),985,ODTP_Osteoporotic_fracture_Hip,E_Outcome,
986,[ODTP] Osteoporotic fracture (NVNH),986,ODTP_Osteoporotic_fracture_NVNH,E_Outcome,
987,[ODTP] Osteoporotic fracture (unspecified),987,ODTP_Osteoporotic_fracture_unspecified,E_Outcome,
1001,[ODTP] bisphosphonate_v6,1001,ODTP_bisphosphonate_v6,P_Outcome,
1002,[ODTP] SERM_v6,1002,ODTP_SERM_v6,P_Outcome,
1003,[ODTP] denosumab_v6,1003,ODTP_denosumab_v6,P_Outcome,
1004,[ODTP] rhPTH_v6,1004,ODTP_rhPTH_v6,P_Outcome,
1005,[ODTP] romosozumab v6,1005,ODTP_romosozumab_v6,P_Outcome,
2001,bisphosphonate PO,2001,ODTP_Bisphosphonate_DRUG,DRUG,
2002,SERM,2002,ODTP_SERM_DRUG,DRUG,
2003,denosumab,2003,ODTP_Denosumab_DRUG,DRUG,
2004,rhPTH,2004,ODTP_rhPTH_DRUG,DRUG,
2005,romosozumab,2005,ODTP_Romosozumab_DRUG,DRUG,
